X1,X2,Alignment
10.038032,-15.327228,good
-4.5216403,6.2590322,bad
7.1995373,19.984488,good
-22.738401,-7.7358904,bad
1.8886486,-0.63589495,bad
-16.234732,-13.629627,good
-11.433322,-4.637699,bad
-9.93901,-3.6186893,bad
19.27936,26.978949,good
-6.8823376,-20.055462,bad
0.38078412,-22.549913,good
-25.410284,-9.557199,bad
2.7343714,-16.2528,good
0.7261376,-17.680136,good
0.71155035,-15.92125,bad
-9.489503,0.96693933,bad
-4.601509,6.6244526,bad
10.170512,23.600294,bad
6.3455577,12.228165,bad
-2.1883218,-19.682106,good
-3.465715,6.495894,good
9.863827,-12.800065,good
5.5896597,4.814853,bad
0.5375365,-0.73185605,good
9.26203,23.265806,bad
2.7850134,0.9115546,good
15.797015,22.391588,bad
-5.374055,-3.6666846,neutral
4.980694,-3.231335,good
-8.780632,-0.50198513,good
-9.812975,-18.696918,bad
19.11112,21.045881,good
6.543093,19.861423,good
9.666543,11.446885,good
16.669508,20.90747,bad
-3.673465,-21.000647,good
-2.2984118,-15.481985,good
7.547039,17.022766,bad
-2.1037037,-21.315847,good
-3.344483,-1.2789168,good
-0.034543753,-16.347586,good
9.952418,24.017942,bad
1.6059465,6.717424,good
7.189921,9.769485,bad
-6.5563493,-13.840317,good
-3.6224,-21.458792,good
2.9629369,-20.033283,good
5.641745,17.746513,good
2.5415251,-1.2346088,good
12.581643,20.521286,good
-25.625456,-3.766808,good
-3.6542435,-2.4080257,bad
-9.420207,-19.42309,bad
11.386445,9.764818,bad
4.2676864,-18.115772,good
-11.344611,-3.597526,good
5.551148,17.890223,good
-6.951181,1.5330186,bad
-4.90533,-11.15736,bad
-4.2539215,9.254026,good
6.5800185,17.489683,good
-4.7300262,8.210161,good
-3.2656581,-5.6267853,good
-4.60961,-13.252636,bad
1.1494734,-8.091954,bad
-1.0791601,11.123103,good
-2.031928,9.587643,good
6.675339,22.544565,good
-21.999086,-6.6584783,good
4.7401433,-17.324272,good
-21.920841,-4.3393908,good
-8.175213,-0.17233434,good
-3.5830536,-22.213562,good
9.543412,-10.057575,good
14.792659,23.196417,good
19.438715,25.87209,good
6.946946,-3.4122326,good
11.511586,23.636583,bad
-21.740831,-8.024207,good
12.023121,15.209579,good
-21.517727,-9.080795,bad
-1.7090973,-13.408436,good
1.1127583,-18.41074,good
14.377705,23.483187,good
6.3929906,23.82342,good
-0.959218,-17.943829,bad
-4.5549054,-18.974909,bad
14.702323,16.809187,good
-8.971993,-19.21959,good
-10.825325,-2.5913122,bad
-16.099941,-9.8251705,good
-0.25277337,-21.379562,bad
-22.56819,-6.881289,good
11.404215,-10.271443,good
-16.701025,-12.312912,good
-23.440163,-2.8932292,bad
-4.042225,-22.428167,good
1.878888,-6.382681,neutral
-19.333673,-8.897371,good
-21.102608,-7.3529186,neutral
12.358923,13.084187,good
-15.199603,-13.023547,bad
-21.82033,-5.832333,good
-22.650984,-10.210106,bad
7.999339,2.3009646,good
-4.334912,10.009101,bad
-23.550814,-7.214921,bad
-25.259233,-9.198478,bad
-22.481941,-4.9638114,good
-21.351755,-5.5946,good
-19.11749,-6.5532727,good
-16.59989,-9.559611,good
-7.8281384,-17.753231,good
-14.638474,-10.183458,good
-20.134537,-6.8985615,good
-2.9967716,6.1349335,bad
-22.208193,-9.799475,good
11.662574,12.670892,neutral
11.652346,5.4329963,good
2.351658,7.9409704,good
-5.6718726,-21.466757,bad
0.37196204,4.0725694,good
-3.6490376,2.384373,good
-6.428252,-17.331572,bad
-11.502912,-6.9945154,bad
1.9488537,5.5407267,bad
12.044475,21.42252,good
3.0661612,11.035639,good
-6.5681396,-18.422113,good
-15.5588875,-6.287994,good
-0.89733195,3.3859215,good
14.541585,8.055304,good
1.9515272,-7.216537,bad
0.44436583,-19.34325,good
-7.665213,6.3280854,good
17.5551,23.877773,good
-10.365125,-4.8511434,good
8.609876,20.265892,bad
-0.5977441,-21.529924,bad
4.3453717,-16.5914,bad
12.440062,10.781782,good
-0.35557342,-12.735221,good
-11.785455,-3.1978815,good
15.059647,11.638052,bad
-5.164582,-10.546918,good
2.248809,-13.866129,good
6.0789785,13.320184,good
-0.86687064,2.233599,good
5.54321,6.599844,good
-5.978448,0.2000857,good
-6.1582284,1.2836274,good
-1.7614667,-7.9646335,good
19.913568,22.680244,good
11.761131,10.9407425,good
3.6650033,-1.2542256,good
11.364508,14.90591,good
-18.295109,-5.0430207,good
-7.4713764,-15.272244,good
-0.67750406,10.122262,good
3.658903,18.616053,good
0.8813071,-23.412365,good
16.81377,20.490376,good
19.362444,21.9368,bad
18.261536,20.561102,good
19.71051,21.23648,good
9.164423,10.376246,bad
-8.569568,-17.737328,bad
3.3188891,18.579721,good
4.0067186,-15.928881,good
9.302705,25.600796,bad
-15.07347,-10.556285,good
-20.964811,-11.434469,neutral
12.948188,6.4846807,good
18.233315,23.61089,good
13.490292,21.467499,good
-12.494795,-4.1663337,good
1.1671611,8.962166,good
-3.144346,10.494091,good
-3.20618,9.584324,bad
-8.820972,-4.7988725,good
-25.546442,-8.572215,bad
-1.0812894,1.7196602,neutral
9.235753,14.514664,good
-4.0143185,-12.748585,good
-24.413715,-9.50786,bad
-2.25305,10.432402,good
10.930592,23.61481,bad
12.505851,11.39616,bad
8.124242,-11.466241,bad
7.630472,13.123187,bad
0.9953326,6.235016,bad
10.821592,11.486508,bad
1.6050317,7.035933,good
1.3091649,-22.955101,good
7.104117,14.734569,good
-7.279544,-4.4359303,bad
-12.902388,-2.84653,bad
12.800116,20.626743,good
6.71227,5.223529,good
0.9323661,-17.280792,bad
-2.843131,9.578671,good
-6.429593,-5.4057465,good
13.854452,23.059118,good
3.9978757,-2.328619,good
2.0295784,-19.72367,bad
3.1446488,-0.1680277,good
-13.477702,-9.009893,good
-0.35007387,-0.63851357,good
13.105857,7.4917984,good
13.117234,15.008147,good
15.388116,8.779014,good
-16.392508,-14.749012,good
-1.9705589,-2.1933153,good
6.0785804,12.709442,good
-24.234127,-8.540614,good
-15.974237,-8.411104,good
14.350876,12.667809,good
-9.139609,-17.493761,good
10.234861,-11.694423,bad
